Prefix,Effective Date,InternationalRate,Description
93,2/27/2015,0.22467,Afghanistan
9375,2/27/2015,0.22333,Afghanistan - Mobile - AT
9370,2/27/2015,0.14,Afghanistan - Mobile - AWCC
93711,2/27/2015,0.14,Afghanistan - Mobile - AWCC
9378,2/27/2015,0.10667,Afghanistan - Mobile - Etisalat
9376,2/27/2015,0.13333,Afghanistan - Mobile - MTN
9377,2/27/2015,0.13333,Afghanistan - Mobile - MTN
9372,2/27/2015,0.12133,Afghanistan - Mobile - Roshan
9379,2/27/2015,0.12133,Afghanistan - Mobile - Roshan
355,2/27/2015,0.1712,Albania
3553,2/27/2015,0.17933,Albania - AMC
3555,2/27/2015,0.17933,Albania - AMC
3558,2/27/2015,0.17933,Albania - AMC
35521,2/27/2015,0.17933,Albania - AMC
35522,2/27/2015,0.17933,Albania - AMC
35524,2/27/2015,0.17933,Albania - AMC
35526,2/27/2015,0.17933,Albania - AMC
35527,2/27/2015,0.17933,Albania - AMC
35528,2/27/2015,0.17933,Albania - AMC
35529,2/27/2015,0.17933,Albania - AMC
35546,2/27/2015,0.17933,Albania - AMC
35547,2/27/2015,0.17933,Albania - AMC
35548,2/27/2015,0.17933,Albania - AMC
35549,2/27/2015,0.17933,Albania - AMC
35572,2/27/2015,0.17933,Albania - AMC
35568,2/27/2015,0.326,Albania - Mobile - AMC
35567,2/27/2015,0.3456,Albania - Mobile - Eagle
35566,2/27/2015,0.37907,Albania - Mobile - Plus
35569,2/27/2015,0.1536,Albania - Mobile - Vodafone
35543,2/27/2015,0.1712,Albania - Tirane
355422,2/27/2015,0.1712,Albania - Tirane
355423,2/27/2015,0.1712,Albania - Tirane
355424,2/27/2015,0.1712,Albania - Tirane
213,2/27/2015,0.07493,Algeria
21320,2/27/2015,0.07493,Algeria - Alger
21321,2/27/2015,0.07493,Algeria - Alger
21322,2/27/2015,0.07493,Algeria - Alger
21365,2/27/2015,0.3152,Algeria - Mobile - Mobilis
21366,2/27/2015,0.3152,Algeria - Mobile - Mobilis
21367,2/27/2015,0.3152,Algeria - Mobile - Mobilis
21369,2/27/2015,0.3152,Algeria - Mobile - Mobilis
21377,2/27/2015,0.32667,Algeria - Mobile - Orascom
21378,2/27/2015,0.32667,Algeria - Mobile - Orascom
21379,2/27/2015,0.32667,Algeria - Mobile - Orascom
2135,2/27/2015,0.39613,Algeria - Mobile - Wataniya
376,2/27/2015,0.01627,Andorra
3763,2/27/2015,0.15587,Andorra - Mobile
3764,2/27/2015,0.15587,Andorra - Mobile
3766,2/27/2015,0.15587,Andorra - Mobile
244,2/27/2015,0.07667,Angola
24491,2/27/2015,0.0656,Angola - Mobile - Movicel
24492,2/27/2015,0.06373,Angola - Mobile - Unitel
24493,2/27/2015,0.06373,Angola - Mobile - Unitel
24494,2/27/2015,0.06373,Angola - Mobile - Unitel
672,2/27/2015,1.8,Antarctica & Islands
6721,2/27/2015,1.8,Antarctica & Islands - Antartic
54,2/27/2015,0.02653,Argentina
54291,2/27/2015,0.00653,Argentina - Bahia Blanca
5411,2/27/2015,0.00453,Argentina - Buenos Aires
54351,2/27/2015,0.00653,Argentina - Cordoba
54232,2/27/2015,0.01413,Argentina - Corredores On Net
54237,2/27/2015,0.01413,Argentina - Corredores On Net
54264,2/27/2015,0.01413,Argentina - Corredores On Net
54299,2/27/2015,0.01413,Argentina - Corredores On Net
54332,2/27/2015,0.01413,Argentina - Corredores On Net
54343,2/27/2015,0.01413,Argentina - Corredores On Net
54348,2/27/2015,0.01413,Argentina - Corredores On Net
54358,2/27/2015,0.01413,Argentina - Corredores On Net
54372,2/27/2015,0.01413,Argentina - Corredores On Net
54381,2/27/2015,0.01413,Argentina - Corredores On Net
54387,2/27/2015,0.01413,Argentina - Corredores On Net
542362,2/27/2015,0.01413,Argentina - Corredores On Net
543783,2/27/2015,0.01413,Argentina - Corredores On Net
54221,2/27/2015,0.00653,Argentina - La Plata
54223,2/27/2015,0.00653,Argentina - Mar del Plata
54261,2/27/2015,0.00653,Argentina - Mendoza
549,2/27/2015,0.09987,Argentina - Mobile
54341,2/27/2015,0.00653,Argentina - Rosario
54342,2/27/2015,0.00653,Argentina - Santa Fe
374,2/27/2015,0.19667,Armenia
37411,2/27/2015,0.19667,Armenia - Fixed - Ucom
37443,2/27/2015,0.24267,Armenia - Mobile - Armentel GSM
37491,2/27/2015,0.24267,Armenia - Mobile - Armentel GSM
37496,2/27/2015,0.24267,Armenia - Mobile - Armentel GSM
37499,2/27/2015,0.24267,Armenia - Mobile - Armentel GSM
37497,2/27/2015,0.154,Armenia - Mobile - Nagorny Karabakh
37441,2/27/2015,0.244,Armenia - Mobile - Orange
37455,2/27/2015,0.244,Armenia - Mobile - Orange
37495,2/27/2015,0.244,Armenia - Mobile - Orange
37449,2/27/2015,0.24,Armenia - Mobile - VivaCell
37477,2/27/2015,0.24,Armenia - Mobile - VivaCell
37493,2/27/2015,0.24,Armenia - Mobile - VivaCell
37494,2/27/2015,0.24,Armenia - Mobile - VivaCell
37498,2/27/2015,0.24,Armenia - Mobile - VivaCell
37447,2/27/2015,0.10267,Armenia - Nagorny Karabakh Region
37460,2/27/2015,0.19333,Armenia - Non Geographical
37410,2/27/2015,0.19667,Armenia - Yerevan
297,2/27/2015,0.08933,Aruba
29763,2/27/2015,0.21067,Aruba - Mobile - Digicel
29764,2/27/2015,0.21067,Aruba - Mobile - Digicel
29773,2/27/2015,0.21067,Aruba - Mobile - Digicel
29774,2/27/2015,0.21067,Aruba - Mobile - Digicel
297600,2/27/2015,0.23067,Aruba - Mobile - MIO
297622,2/27/2015,0.23067,Aruba - Mobile - MIO
29756,2/27/2015,0.2148,Aruba - Mobile - Setar
29759,2/27/2015,0.2148,Aruba - Mobile - Setar
29766,2/27/2015,0.2148,Aruba - Mobile - Setar
29769,2/27/2015,0.2148,Aruba - Mobile - Setar
29796,2/27/2015,0.2148,Aruba - Mobile - Setar
29799,2/27/2015,0.2148,Aruba - Mobile - Setar
247,2/27/2015,1.46667,Ascension Island
2470,2/27/2015,1.6,Ascension Island - Premium Rate
2471,2/27/2015,1.6,Ascension Island - Premium Rate
2475,2/27/2015,1.6,Ascension Island - Premium Rate
2478,2/27/2015,1.6,Ascension Island - Premium Rate
2479,2/27/2015,1.6,Ascension Island - Premium Rate
61,2/27/2015,0.014,Australia
61870,2/27/2015,0.014,Australia - Adelaide
61881,2/27/2015,0.014,Australia - Adelaide
61882,2/27/2015,0.014,Australia - Adelaide
61883,2/27/2015,0.014,Australia - Adelaide
61884,2/27/2015,0.014,Australia - Adelaide
6172,2/27/2015,0.014,Australia - Brisbane
6173,2/27/2015,0.014,Australia - Brisbane
61261,2/27/2015,0.014,Australia - Canberra
61262,2/27/2015,0.014,Australia - Canberra
6138,2/27/2015,0.014,Australia - Melbourne
6139,2/27/2015,0.014,Australia - Melbourne
614,2/27/2015,0.05333,Australia - Mobile
6116,2/27/2015,0.05333,Australia - Mobile
61401,2/27/2015,0.052,Australia - Mobile - Optus
61402,2/27/2015,0.052,Australia - Mobile - Optus
61403,2/27/2015,0.052,Australia - Mobile - Optus
61411,2/27/2015,0.052,Australia - Mobile - Optus
