"destination","prefix","rate","initial","additional","effective"
"RUSSIA OTHER","7","0.01428600","1","1","2015-05-01 00:00:00"
"EGYPT","20","0.05857100","1","1","2015-05-01 00:00:00"
"SOUTH AFRICA","27","0.01714300","1","1","2015-05-01 00:00:00"
"GREECE R.O.C","30","0.00585700","1","1","2015-05-01 00:00:00"
"NETHERLANDS","31","0.00585700","1","1","2015-05-01 00:00:00"
"BELGIUM","32","0.01300000","1","1","2015-05-01 00:00:00"
"FRANCE","33","0.00571400","1","1","2015-05-01 00:00:00"
"SPAIN R.O.C","34","0.00500000","1","1","2015-05-01 00:00:00"
"HUNGARY-ROC-FIXED","36","0.00428600","1","1","2015-05-01 00:00:00"
"ITALY","39","0.00414300","1","1","2015-05-01 00:00:00"
"ROMANIA-ROC-FIXED","40","0.00428600","1","1","2015-05-01 00:00:00"
"SWITZERLAND R.O.C","41","0.01171400","1","1","2015-05-01 00:00:00"
"AUSTRIA","43","0.00500000","1","1","2015-05-01 00:00:00"
"U.K.-ROC-FIXED","44","0.00285700","1","1","2015-05-01 00:00:00"
"DENMARK OTHER","45","0.00585700","1","1","2015-05-01 00:00:00"
"SWEDEN","46","0.00271400","1","1","2015-05-01 00:00:00"
"NORWAY OTHER","47","0.00885700","1","1","2015-05-01 00:00:00"
"POLAND","48","0.01057100","1","1","2015-05-01 00:00:00"
"GERMANY","49","0.00614300","1","1","2015-05-01 00:00:00"
"PERU R.O.C","51","0.01357100","1","1","2015-05-01 00:00:00"
"MEXICO-ROC-FIXED","52","0.00371400","60","60","2015-05-01 00:00:00"
"CUBA OTHER","53","0.80714300","1","1","2015-05-01 00:00:00"
"ARGENTINA","54","0.02500000","1","1","2015-05-01 00:00:00"
"BRAZIL OTHER","55","0.01157100","1","1","2015-05-01 00:00:00"
"CHILE OTHER","56","0.01742900","1","1","2015-05-01 00:00:00"
"COLOMBIA OTHER","57","0.03714300","1","1","2015-05-01 00:00:00"
"VENEZUELA","58","0.02285700","1","1","2015-05-01 00:00:00"
"MALAYSIA OTHER","60","0.01200000","1","1","2015-05-01 00:00:00"
"AUSTRALIA OTHER","61","0.01157100","1","1","2015-05-01 00:00:00"
"INDONESIA R.O.C","62","0.07371400","1","1","2015-05-01 00:00:00"
"PHILIPPINES","63","0.11785700","1","1","2015-05-01 00:00:00"
"NEW ZEALAND","64","0.01142900","1","1","2015-05-01 00:00:00"
"SINGAPORE","65","0.00600000","1","1","2015-05-01 00:00:00"
"THAILAND OTHER","66","0.00842900","1","1","2015-05-01 00:00:00"
"RUSSIA MOBILE","79","0.05714300","1","1","2015-05-01 00:00:00"
"JAPAN OTHER","81","0.02028600","1","1","2015-05-01 00:00:00"
"SOUTH KOREA","82","0.00971400","1","1","2015-05-01 00:00:00"
"VIETNAM","84","0.05142900","1","1","2015-05-01 00:00:00"
"CHINA","86","0.00642900","1","1","2015-05-01 00:00:00"
"TURKEY","90","0.03428600","1","1","2015-05-01 00:00:00"
"INDIA","91","0.01314300","1","1","2015-05-01 00:00:00"
"PAKISTAN","92","0.03928600","1","1","2015-05-01 00:00:00"
"AFGHANISTAN OTHER","93","0.22857100","1","1","2015-05-01 00:00:00"
"SRI LANKA","94","0.14000000","1","1","2015-05-01 00:00:00"
"MYANMAR","95","0.11714300","1","1","2015-05-01 00:00:00"
"IRAN","98","0.11214300","1","1","2015-05-01 00:00:00"
"EGYPT CAIRO","202","0.09571400","1","1","2015-05-01 00:00:00"
"SOUTH SUDAN","211","0.35857100","1","1","2015-05-01 00:00:00"
"MOROCCO","212","0.01714300","1","1","2015-05-01 00:00:00"
"ALGERIA","213","0.05571400","1","1","2015-05-01 00:00:00"
"TUNISIA","216","0.47142900","1","1","2015-05-01 00:00:00"
"LIBYA OTHER","218","0.22514300","1","1","2015-05-01 00:00:00"
"GAMBIA","220","0.54214300","1","1","2015-05-01 00:00:00"
"SENEGAL","221","0.17014300","1","1","2015-05-01 00:00:00"
"MAURITANIA OTHER","222","0.49542900","1","1","2015-05-01 00:00:00"
"MALI OTHER","223","0.22428600","1","1","2015-05-01 00:00:00"
"GUINEA","224","0.46428600","1","1","2015-05-01 00:00:00"
"IVORY COAST OTHER","225","0.20214300","1","1","2015-05-01 00:00:00"
"BURKINA FASO OTHER","226","0.19157100","1","1","2015-05-01 00:00:00"
"NIGER","227","0.27428600","1","1","2015-05-01 00:00:00"
"TOGO OTHER","228","0.31242900","1","1","2015-05-01 00:00:00"
"BENIN OTHER","229","0.22271400","1","1","2015-05-01 00:00:00"
"MAURITIUS ISLAND OTHER","230","0.15642900","1","1","2015-05-01 00:00:00"
"LIBERIA","231","0.45000000","1","1","2015-05-01 00:00:00"
"SIERRA LEO","232","0.51428600","1","1","2015-05-01 00:00:00"
"GHANA","233","0.25428600","1","1","2015-05-01 00:00:00"
"NIGERIA OTHER","234","0.05042900","1","1","2015-05-01 00:00:00"
"CHAD","235","0.31428600","1","1","2015-05-01 00:00:00"
"CTRL AFRICAN REP","236","0.32571400","1","1","2015-05-01 00:00:00"
"CAMEROON OTHER","237","0.12100000","1","1","2015-05-01 00:00:00"
"CAPE VERDE","238","0.20914300","1","1","2015-05-01 00:00:00"
"SAO TOME","239","1.11785700","1","1","2015-05-01 00:00:00"
"EQUATORIAL GUINEA","240","0.24085700","1","1","2015-05-01 00:00:00"
"GABON OTHER","241","0.44085700","1","1","2015-05-01 00:00:00"
"CONGO OTHER","242","0.45728600","1","1","2015-05-01 00:00:00"
"DEM. REP. OF CONGO OTHER","243","0.25042900","1","1","2015-05-01 00:00:00"
"ANGOLA OTHER","244","0.06757100","1","1","2015-05-01 00:00:00"
"GUINEA BISSAU","245","0.37285700","1","1","2015-05-01 00:00:00"
"DIEGO GARCIA","246","1.25714300","1","1","2015-05-01 00:00:00"
"ASCENSION ISL","247","0.84442900","1","1","2015-05-01 00:00:00"
"SEYCHELLES OTHER","248","0.48871400","1","1","2015-05-01 00:00:00"
"SUDAN","249","0.16328600","1","1","2015-05-01 00:00:00"
"RWANDA-ROC-FIXED","250","0.32000000","1","1","2015-05-01 00:00:00"
"ETHIOPIA OTHER","251","0.27257100","1","1","2015-05-01 00:00:00"
"SOMALIA OTHER","252","0.50414300","1","1","2015-05-01 00:00:00"
"DJIBOUTI ALL COUNTRY","253","0.30971400","1","1","2015-05-01 00:00:00"
"KENYA","254","0.14571400","1","1","2015-05-01 00:00:00"
"TANZANIA","255","0.34000000","1","1","2015-05-01 00:00:00"
"UGANDA OTHER","256","0.20271400","1","1","2015-05-01 00:00:00"
"BURUNDI OTHER","257","0.47371400","1","1","2015-05-01 00:00:00"
"MOZAMBIQUE OTHER","258","0.06214300","1","1","2015-05-01 00:00:00"
"ZAMBIA OTHER","260","0.07971400","1","1","2015-05-01 00:00:00"
"MADAGASCAR OTHER","261","0.63328600","1","1","2015-05-01 00:00:00"
"REUNION ISLAND OTHER","262","0.01357100","1","1","2015-05-01 00:00:00"
"ZIMBABWE OTHER","263","0.10642900","1","1","2015-05-01 00:00:00"
"NAMIBIA OTHER","264","0.04100000","1","1","2015-05-01 00:00:00"
"MALAWI OTHER","265","0.35842900","1","1","2015-05-01 00:00:00"
"LESOTHO","266","0.21000000","1","1","2015-05-01 00:00:00"
"BOTSWANA OTHER","267","0.05785700","1","1","2015-05-01 00:00:00"
"SWAZILAND","268","0.03600000","1","1","2015-05-01 00:00:00"
"COMOROS OTHER","269","0.24500000","1","1","2015-05-01 00:00:00"
